has_title,has_submit,has_link,has_email_input,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_div,has_footer,number_of_forms,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,number_of_sources,number_of_span,number_of_table,RequestURL,AnchorURL,Favicon,LinksInScriptTags,ServerFormHandler,InfoEmail,has_mouse_tracking,has_keyboard_monitoring,has_popups,number_of_hidden_element,page_redirect,form_redirect_behavior,external_form_action,password_type_count,password_name_id_count,hidden_password_count,form_with_password,clipboard_monitoring,form_data_collection,cookie_manipulation,UsingIp,longUrl,shortUrl,symbol,redirecting,prefixSuffix,SubDomains,Hppts,DomainRegLen,NonStdPort,HTTPSDomainURL,AbnormalURL,WebsiteForwarding,StatusBarCust,DisableRightClick,UsingPopupWindow,IframeRedirection,AgeofDomain,DNSRecording,WebsiteTraffic,PageRank,GoogleIndex,LinksPointingToPage,StatsReport,URL,label
1,0,1,0,1,0,1,0,0,6,37,2,56,1,1,0,3141,0,30,39,1,0,0,0,0,10,0,0,25,0,0,0,0,0,1,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,http://suite.trez0r.cc,1
1,0,0,0,0,0,1,0,0,4,7,0,27,1,1,0,1681,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://adamcooper770404.pythonanywhere.com/login/,1
1,1,1,1,3,0,3,0,0,3,1,0,11,0,0,0,234,0,3,7,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://japan-090909090909-activity.surge.sh/?EJrDZhzYlwjRLoAItHg%bCqPkOKFyWaTVsueUpGmXNxM=idvQS#YWFhYUBleGFtcGxlLmpw,1
1,0,1,0,0,0,1,0,0,1,0,3,23,0,0,0,23,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://acc-itrustcapital-authh.webflow.io/,1
1,0,1,0,0,0,3,0,0,1,0,3,46,0,0,0,46,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://app--cryptocom-sso--t-cdn--auth.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,39,1,0,0,78,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://attonicvalletio.webflow.io/,1
1,0,1,0,0,0,4,0,0,1,0,3,46,0,0,0,46,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://auth--app--crypto--sso-h-cdn.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://connect-auth-phantom.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,53,0,0,0,53,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://bridge--trezorei.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,28,0,0,0,28,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://conbsextensson.webflow.io/,1
1,0,1,0,0,0,1,0,0,0,0,3,52,0,0,0,52,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://auths-m-start--t-trzor.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,28,1,0,0,56,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://cionepstensiion.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,62,0,0,0,62,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://bitmartlogginee.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,22,3,52,1,0,0,4263,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://auth-start-ledger-s-auth.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,0,3,56,0,0,0,56,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://auth-io-ttrezor-web--cdn.webflow.io/,1
1,0,1,0,0,0,3,0,6,2,11,3,52,1,0,0,3220,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://docs---trzbridge---cdn.webflow.io/,1
1,0,1,0,54,7,0,0,0,0,0,22,16,1,0,0,1272,0,0,168,0,3,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,https://trezaorrwallet.azurewebsites.net/,1
1,0,1,0,0,0,3,0,0,2,0,3,57,0,0,0,57,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://docs-live-ledgge-view-help.webflow.io/,1
1,0,1,0,0,0,3,0,9,2,3,3,51,1,1,1,3168,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://docs-support-desk-ledger.webflow.io/,1
1,0,1,0,0,0,3,0,13,4,3,3,48,1,0,1,2123,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://docs-live-view-ledge-help.webflow.io/,1
1,0,1,0,0,0,3,0,10,3,14,3,63,1,0,0,4244,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://docs-suitie-trezr-cdn.webflow.io/,1
1,0,1,0,0,0,1,0,8,3,9,3,68,1,0,0,1920,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://gamniollogi.webflow.io/,1
1,0,1,0,0,0,3,0,6,3,5,3,52,1,0,1,2526,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://docs-start-en-ledge-help.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,8,3,44,1,0,0,1145,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://docs-ledgr-web-io.webflow.io/,1
1,0,1,0,0,0,3,0,0,1,0,3,22,0,0,0,22,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://h-sso-itrustcapital--com-h-visit.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,0,3,58,0,0,0,58,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://help-ledgerlivewalle.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,0,3,53,0,0,0,53,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://help-ledger-logon-help.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,1,3,52,0,0,0,215,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://getstarted--ledgeer.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,0,3,43,0,0,0,43,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://docs-suite-trezzr-cdn.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,2,3,63,1,1,0,1306,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://itrrusstcaapialusloggin.webflow.io/,1
1,0,1,0,0,0,1,0,0,2,4,3,60,1,0,0,4771,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://itrust-cepitalloginu.webflow.io/,1
1,0,1,0,0,0,1,0,11,2,4,3,64,1,1,0,4225,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://krakenenleogi.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,40,0,0,0,40,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://kucoinz-sso.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,70,0,0,0,70,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://kucoinyinlogin.webflow.io/,1
1,0,1,0,0,0,1,0,3,2,2,0,14,1,1,0,330,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://collab-land-2f84c.web.app,1
1,0,1,0,0,0,1,0,32,2,8,3,50,1,1,0,3407,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://ledger-livlgin.webflow.io/,1
1,0,1,0,0,0,1,0,0,0,0,3,52,0,0,0,52,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://ledgerrlivlogin.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,55,0,1,0,721,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://ledgercomstaruts.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,46,0,0,0,46,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://lehgercum.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,0,3,49,0,0,0,49,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://leigrelievlogaunn.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,0,3,49,0,0,0,49,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://liegre-live-logaun.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,25,0,0,0,25,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://masrskxtension.webflow.io/,1
1,0,1,0,0,0,3,0,4,1,5,3,59,1,1,0,1821,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://login-kucoin-sso.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,0,3,41,0,0,0,41,0,2,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://logintrezor-so-start.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://metamaklogitin.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://metamasklogies.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://mietamasklogn.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://metamaskxtensom.webflow.io/,1
1,0,1,0,0,0,1,0,0,0,0,3,74,0,0,0,74,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://mmetamaasksignin.webflow.io/,1
1,0,1,0,0,0,1,0,0,1,0,3,52,1,0,0,104,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://metashksextensiun.webflow.io/,1
1,0,1,0,0,0,3,0,0,2,1,3,22,0,1,0,1145,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://my--sso--itrusstcapital-com-auths.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://phaanettomwallet.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://phaentomiwallet.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://phaneetmwarllet.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://phhntoumwallett.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://phantoemwaserllet.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://phntomswallet.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://phantomwalletukf.webflow.io/,1
1,0,1,0,0,0,0,0,0,0,1,0,20,1,0,0,117,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://phrmuntowallet.webflow.io/,1
